country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AGO,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
ARE,EJ,Energy use,1.928814821,1.949637675,2.1300953,2.272159067,2.430235427,2.536553057,2.668654648,2.946099912,3.378241948,3.332070939,3.500970074,3.67535279,3.866759223,4.079681764,4.038183378,4.431467132,4.623483591,4.639606364,4.578217707,4.547959349,4.259306241,4.528432432
ARG,EJ,Energy use,2.515452895,2.45689476,2.355911903,2.525131376,2.681342385,2.846163736,2.990049864,3.120416328,3.160922496,3.072746412,3.185636295,3.273665195,3.401829625,3.538283171,3.527488196,3.587523734,3.570089226,3.566105715,3.540534156,3.350906295,3.171094586,3.432285354
AUS,EJ,Energy use,4.698934292,4.735387176,4.830282402,4.89910435,5.055998935,5.077260719,5.295016584,5.422201433,5.514283684,5.434360348,5.43181918,5.600592144,5.5183499,5.58835403,5.626763984,5.758417781,5.781415512,5.760971214,5.83645841,6.044069517,5.736940993,5.720003054
AUT,EJ,Energy use,1.409128533,1.45932962,1.461625026,1.476913518,1.504333282,1.530598512,1.514635045,1.482504253,1.51128273,1.464389886,1.512264861,1.416072966,1.490844818,1.480687608,1.421382683,1.423025076,1.470672748,1.503462893,1.46817992,1.541586865,1.441154375,1.482714071
AZE,EJ,Energy use,0.473871516,0.456853295,0.451548007,0.488601326,0.554032554,0.600614599,0.590729634,0.534406893,0.53956251,0.476875368,0.47105297,0.523316858,0.538602633,0.553673922,0.564022595,0.616780619,0.611045864,0.599327277,0.616683297,0.650360447,0.638583731,0.659687888
BEL,EJ,Energy use,2.676054476,2.652691472,2.640508118,2.742087693,2.752631813,2.722024195,2.729667984,2.748488531,2.792642413,2.611703341,2.783665443,2.601456592,2.494269327,2.563202477,2.382676395,2.415307796,2.604336152,2.633579966,2.613477695,2.697461262,2.435984696,2.72612517
BGD,EJ,Energy use,0.490034988,0.560105961,0.577841132,0.61242715,0.633472257,0.683131895,0.740129904,0.757520756,0.801551937,0.880796973,0.90194697,0.980171074,1.049273473,1.08116416,1.125317322,1.308720602,1.330791778,1.382938529,1.464803471,1.629306924,1.579702617,1.653675346
BGR,EJ,Energy use,0.782841062,0.808985335,0.789927363,0.819336413,0.793313005,0.858595129,0.875058626,0.847000588,0.833328306,0.729273305,0.760057081,0.807562424,0.766956719,0.710411489,0.758715448,0.806709288,0.7640383,0.780837387,0.783447073,0.756453277,0.697865709,0.783416482
BHR,EJ,Energy use,,,,,,,,,,,,,,,,,,,,,,
