country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AGO,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
ARE,%,Share of fossil primary energy consumed,,100.0,100.00000000000003,100.0,100.0,100.0,100.0,100.0,99.99999999999999,99.99808284393794,99.99474162885974,99.99440772051709,99.99381156192564,99.97906978903269,99.92308306212834,99.93047149153492,99.93297871747545,99.84587358411513,99.72623346458958,99.20817564018203,98.63908402636034,96.82353639675549
ARG,%,Share of fossil primary energy consumed,85.20771175084954,81.14664292743251,81.25932011983217,82.58988577075918,84.89296513320882,84.8227772514912,84.01231401671367,87.13005471749345,87.29217190524878,85.64726342929988,86.16850669074888,87.20746065786975,88.00098623398873,87.39828924223771,87.4981141963827,87.26728248036727,87.68684909053309,87.46577362752129,86.82838271141367,85.77884279512507,84.77001940805559,85.8180961721984
AUS,%,Share of fossil primary energy consumed,96.01112240877448,96.12923807098642,96.06854996880988,95.98503136598835,95.96343971540018,95.68644717848692,95.76658678128892,96.02327708285272,96.31867378189098,96.07973409274553,95.68719535321497,94.30101875313419,94.2997914104722,93.47413084349633,94.02017737092278,93.70997908149171,92.81082447477958,93.24987272883811,91.69993881614931,91.1192787493546,89.2101891277026,87.06646870611966
AUT,%,Share of fossil primary energy consumed,67.04573833223205,69.1834888542864,69.67488342663339,74.8594819889786,72.36621724892477,72.0521393006555,71.40878771889237,69.01938884353406,68.65452191066855,65.6774880921296,68.39435549114435,69.27920513666525,64.07065460249667,64.73332550507844,63.35970212463887,65.0359207724882,64.3481497353482,65.4971259739631,65.4310745511354,64.38861893131141,61.739327544281984,62.5182062496256
AZE,%,Share of fossil primary energy consumed,96.55398637634089,96.98821828569716,95.29933369853187,94.7220972134652,94.84141449926426,94.8349963434705,95.63370050942798,95.4970292645533,95.81524316802515,95.12886981405171,92.68856854888315,94.9220458707256,96.66265426518996,97.21930754036848,97.56638029722905,97.24231282954759,96.65409207319338,96.95019571084865,96.92984339090995,97.32541637791205,98.02416341233098,97.79845723042894
BEL,%,Share of fossil primary energy consumed,81.18420736514183,81.81849781285081,81.4350125773785,82.20268876718232,82.28348100545622,81.8373722427548,81.9935129883547,81.44484351133717,82.39576417978009,80.03490554174698,80.38609085107646,78.284481404101,79.6376514956839,78.95351159962225,80.71092637823358,83.28454035263668,78.1876116658845,78.34845554866284,82.58394323124307,77.34792552509323,76.53727435404217,73.89266355660403
BGD,%,Share of fossil primary energy consumed,98.37292740411426,98.12499692357318,98.6377921951046,98.721596519684,98.77030179081702,98.86464721428356,98.95368989171392,98.9792622923193,98.77818235501312,99.48824358641387,99.1351130100254,99.04862801531723,99.17435042218018,99.21150456929685,99.3538400362418,99.18159277208352,99.19390492356949,99.10535719841818,99.25288298282575,99.32487023543759,99.34191885940265,99.3498540069545
BGR,%,Share of fossil primary energy consumed,72.64530779045926,73.19994162811369,71.26855637231547,75.01078949361914,74.75587079276482,73.29705361046835,73.11898471588806,79.60224780859302,78.028044687588,74.66019231294914,73.05917751195848,75.811124540386,73.17679734676136,70.98318887125994,70.28663135905992,70.92573402972894,70.97873300330626,73.2040339661656,68.53024326762657,69.1470195058723,66.67464026377603,68.08312554751689
BHR,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
