country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,MtCO2eq,GHG emissions from rice cultivation,0.76961826,0.71633592,0.79921917,0.8584204499999999,1.1544282,0.94722264,0.94722264,1.00642392,1.1248281,1.1840283,1.2313889999999998,1.2432284999999998,1.2136284,1.2136284,1.3024314,0.9709043399999999,0.70449804,0.647970894,0.695848968,0.6307315912999999
AGO,MtCO2eq,GHG emissions from rice cultivation,0.014750639999999999,0.013379687999999999,0.012730284,0.027030807,0.038558484,0.042595767,0.026608203,0.030965004,0.056868803999999995,0.08145659699999999,0.08213697,0.089466012,0.09587041199999999,0.10139553,0.10331307,0.1033506,0.25997570999999997,0.22614929999999997,0.27027728999999995,0.41266733669999994
ALB,MtCO2eq,GHG emissions from rice cultivation,,,,,,,,,,,,,,,,,,,,
ARG,MtCO2eq,GHG emissions from rice cultivation,0.60568965,0.48657051,0.39731094,0.42575976,0.542020194,0.509214384,0.54153306,0.52746714,0.58457511,0.6209065799999999,0.69097401,0.82481706,0.754098066,0.74553642,0.77917626,0.7451856899999999,0.66556755,0.6539073299999999,0.6349077,0.6024392290999999
AUS,MtCO2eq,GHG emissions from rice cultivation,1.0724559299999998,1.42692759,1.17181674,0.37369312199999993,0.543659904,0.42119208899999994,0.843526305,0.16348095,0.0193108941,0.05993211329999999,0.1577114388,0.631337355,0.8590388849999999,0.9467015129999999,0.6389086679999999,0.5803599509999999,0.221809131,0.6848275679999999,0.509439294,0.7155175213999999
AZE,MtCO2eq,GHG emissions from rice cultivation,0.03761667,0.032012009999999994,0.030228389999999997,0.02812374,0.021749985,0.019560609,0.010143791999999999,0.008918073,0.011301875999999999,0.014556347999999998,0.013863176999999999,0.014911370999999998,0.014243579999999999,0.017912258999999996,0.009188585999999999,0.010109987999999999,0.021217437000000002,0.04313655,0.03409992,0.05594939054
BDI,MtCO2eq,GHG emissions from rice cultivation,0.058411556999999996,0.065283543,0.06597061199999998,0.06700149899999999,0.06734502,0.068375907,0.070437357,0.072155583,0.07559144100000001,0.08246348099999999,0.1015983,0.11699153999999999,0.10552221,0.074457684,0.081535761,0.11766842999999999,0.21904695,0.14911451999999997,0.15052311,0.1782068275
BEN,MtCO2eq,GHG emissions from rice cultivation,0.080137107,0.09106711199999999,0.09891144899999998,0.080539191,0.08505418499999999,0.099313263,0.089706366,0.094128507,0.11439737999999999,0.1383804,0.16169004,0.19171728,0.22584663,0.37798784999999996,0.25627563,0.22438647,0.28295622,0.27133542,0.46449234,0.6087679233
BFA,MtCO2eq,GHG emissions from rice cultivation,0.13795433999999998,0.20085354,0.16104744,0.16408467000000002,0.17012538,0.18060489000000002,0.15186987,0.13927383,0.27524204999999996,0.31694436,0.45951705,0.46821375,0.47026115999999996,0.47709134999999997,0.49567734,0.49036482,0.5846588100000001,0.56723112,0.5846588100000001,0.62231242
BGD,MtCO2eq,GHG emissions from rice cultivation,59.265890999999996,58.85487,59.824062,59.929227,57.608819999999994,59.513832,60.180111,60.513048,64.921446,65.349666,66.35954699999999,66.353796,65.749374,65.455884,65.706957,65.508804,63.319185,66.854457,68.55453899999999,68.90400989
BGR,MtCO2eq,GHG emissions from rice cultivation,0.02121174,0.02314818,0.02474604,0.03346001999999999,0.03367386,0.026735939999999996,0.02696166,0.039103019999999995,0.04626072,0.04937328,0.07114338,0.07003854,0.05864562,0.06067116,0.06559542,0.07371539999999999,0.07120872,0.06197796,0.06536375999999999,0.06298875978
BLZ,MtCO2eq,GHG emissions from rice cultivation,0.0116107803,0.0128859174,0.015295192199999998,0.0145262916,0.0100472832,0.0121105719,0.0093328389,0.0118959192,0.0108610794,0.014670458099999999,0.0147633651,0.014273185499999999,0.008685657,0.0125783307,0.0112487373,0.0095634945,0.010870691399999998,0.0127257183,0.008708077799999998,0.008683750024999999
BOL,MtCO2eq,GHG emissions from rice cultivation,0.500801076,0.468107694,0.416128212,0.45230454,0.487603314,0.603549846,0.539526312,0.5446715400000001,0.497883078,0.598492692,0.622308096,0.571160214,0.504615096,0.532797372,0.56043387,0.532983726,0.525125592,0.5537015820000001,0.543939138,0.5479353255
BRA,MtCO2eq,GHG emissions from rice cultivation,6.8482584,6.1291755,6.3839312999999995,6.7222278,8.1938493,8.9142525,7.0054685999999995,7.0526159999999996,7.1869302,7.2407844,6.863691599999999,6.9403932,6.0842124,5.9326155,5.9016654,5.3911764,4.9009104,5.0579019,4.6926216,4.487510981
