country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.15240352029999998,0.1268391516,0.09700111848,0.09275511136999999,0.09753726667,0.11331916789999999,0.09996337674999999,0.1127510794,0.1133155162,0.10852186879999999,0.1476679817,0.16817455669999998,0.1609490073,0.1487440031,0.15604273529999999,0.1707555645,0.23720104949999998,0.1843605608,0.18904269209999996,0.19683659879999998,
AGO,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,51.46223439999999,48.3450606,46.73699273,45.18082979,46.18359192,45.95648083,40.54427662,37.82820804,39.28081475,37.73930363,43.79995874,40.999877729999994,40.30716415,40.37899211999999,40.03937558,43.51358354,42.785228909999994,40.32334372,38.3715667,38.75863354999999,4.744590871
ALB,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.19104615719999998,0.18765600059999998,0.19530431709999999,0.1993719517,0.2116798329,0.210422956,0.2161388983,0.22299362609999998,0.219954874,0.2205540842,0.2322137996,0.19034469510000002,0.2036278479,0.22589560329999997,0.26381343199999996,0.2780598901,0.2861949402,0.2403535468,0.2234593684,0.1967121439,0.0054924193839999995
ARE,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,34.43116917,34.61932701,32.656902269999996,34.60932043,33.916010130000004,35.32274314,36.74285079999999,36.234128039999995,35.71464557,34.456577450000005,36.01096246,38.42262503,39.89276489,41.3740715,40.88902357999999,44.29044385,45.08980131,44.857849789999996,46.19773323,46.33458589,2.263984516
ARG,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,25.18659385,25.59969712,25.54235727,26.81381521,27.36762843,26.857531629999997,26.86075441,26.16445104,26.173077420000002,25.88835203,25.10050402,24.9789041,25.36862117,24.60313188,24.77871252,25.05874068,25.8661593,25.58900309,26.05452634,27.671450859999997,2.213864992
ARM,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,0.36994964150000004,0.3530343271,0.3599808025,0.37719238549999995,0.3928901732,0.42693056420000003,0.4322951066,0.4376454403,0.4430024373,0.4483243656,0.4536352412,0.4589256084,0.4642257827,0.46459749629999997,0.46500808549999995,0.46546162329999996,0.4650223987,0.4651640357,0.4653516929,0.46554030209999997,
AUS,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,11.62405588,11.82422057,11.35702325,10.817725439999998,10.04324763,9.657803454,9.50012348,9.303786549,9.22523996,9.505962441,9.488743764,10.06211223,10.81876721,11.374344119999998,12.74887523,12.34249615,12.22011464,12.37060294,13.246803029999999,15.8244495,1.9697393829999998
AUT,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,1.487233486,1.5315775649999999,1.610347955,1.6845514899999998,1.728814016,1.751034577,1.818809612,1.8647394229999998,1.9062632019999999,1.976688333,2.01292913,2.017999551,2.092774171,2.1172857379999996,2.197619778,2.236922534,2.152060937,2.162209547,2.174803813,2.186306531,0.09611283327
AZE,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,4.445795522,4.472378847,4.070860944,4.166030923,4.125340469,5.138006479,5.809154488,9.932526346,13.009638529999998,10.93930572,10.966638179999999,10.72216214,11.26174511,11.7003641,11.71253333,11.42651541,11.206884429999999,10.73671527,10.793302169999999,12.60416388,0.317312979
BEL,MtCO2eq,Oil and gas fugitive GHG emissions from energy systems,4.816310035,4.970446303,5.2140607779999995,6.19440239,6.958122738999999,6.998675222,7.074122224999999,7.149718362,7.208957545,7.279595321,7.8794263419999995,8.348124145,7.5094580969999996,7.5877882130000005,7.668458519999999,7.735492982999999,7.64572478,7.675076782,7.7110182929999995,7.7904463029999995,2.9169699999999996e-05
