country,unit,variable,2014,2015,2016,2017,2018,2019,2020
AFG,MtCO2eq,Total GHG emissions (excluding LULUCF),29.489176900274998,29.237994288352997,27.791504984162003,30.234433944729997,30.272439983104,33.9022962117647,11.9478636228
AGO,MtCO2eq,Total GHG emissions (excluding LULUCF),83.60796054685999,88.37155790871,88.01339775624999,82.43292927861,81.06338536895,80.96287148207999,22.513601281
ALB,MtCO2eq,Total GHG emissions (excluding LULUCF),8.871584301318,8.71987937696,8.506795213551,9.11492091619,9.124511217213001,9.303348542191,5.1031026893839995
ARE,MtCO2eq,Total GHG emissions (excluding LULUCF),258.5805909250983,273.68840491640975,283.38597521335635,290.150638802734,286.8771151981978,286.4654095692265,203.1364395
ARG,MtCO2eq,Total GHG emissions (excluding LULUCF),403.82423499669994,410.3417348012,414.2490061689999,410.0067540812,406.7004423556,396.54822481921303,176.50955999529998
ARM,MtCO2eq,Total GHG emissions (excluding LULUCF),8.717884153046,8.296311136952001,8.465404158307999,8.729676858877,8.888892604329001,8.561821901547999,5.8187886119
ATG,MtCO2eq,Total GHG emissions (excluding LULUCF),0.8149275755692429,0.8111839280370159,0.799293151777343,0.6427106274171399,0.626217342241897,0.613739393911618,0.45725176844
AUS,MtCO2eq,Total GHG emissions (excluding LULUCF),582.94192926326,590.9448286521899,589.47878843128,595.3954740995099,591.58876767245,599.4273132087999,386.439167359
AUT,MtCO2eq,Total GHG emissions (excluding LULUCF),84.95437427971,85.87798645188,86.12582988598999,88.83374207679,86.3567377605,88.08930495591999,63.69114120626999
AZE,MtCO2eq,Total GHG emissions (excluding LULUCF),58.639902605850004,58.415334794850004,58.58206288962,57.98767518956999,58.5104996951,62.201598070939994,33.894674667000004
BDI,MtCO2eq,Total GHG emissions (excluding LULUCF),5.1787596511394,5.3667779189247,5.806615272192099,6.250147425584999,6.3812213660023,6.695131217520499,0.28666820201999993
BEL,MtCO2eq,Total GHG emissions (excluding LULUCF),130.11963559803,135.091204974124,133.87918944824798,131.73040919345797,132.314154196589,130.392881863278,84.07988186269999
BEN,MtCO2eq,Total GHG emissions (excluding LULUCF),13.529832449739999,14.112533933809999,15.894634756599999,16.33227268445,17.595601374903,18.022025859582996,7.34563934341
BFA,MtCO2eq,Total GHG emissions (excluding LULUCF),26.521382937792996,27.944094306881,28.198104867637998,29.42468923116,30.103003868879,30.747621680971996,3.249676852
BGD,MtCO2eq,Total GHG emissions (excluding LULUCF),231.17291976655,244.03235368846998,246.60931953324,257.83775878129,266.339442083,281.08371072750003,108.50409831867
BGR,MtCO2eq,Total GHG emissions (excluding LULUCF),60.36681529383,63.11128746855999,60.6252006723,63.395748514089995,60.29798104819999,58.738693402879996,38.01231727347199
