country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,tCO2eq per capita,GHG emissions from agriculture per capita,0.5548427525711433,0.45267630525896435,0.5426301708914923,0.534798265361101,0.5117240723592227,0.48390201125941046,0.46711740587865386,0.4662990420265395,0.5020969663116827,0.5080851447021684,0.5608238375473364,0.5427739628117437,0.5127294826916833,0.4853577497633066,0.4839171816088098,0.45412380413931086,0.4366487457376457,0.4243246108901309,0.40544971281603354,0.3993225781990038,0.003289942409824246
AGO,tCO2eq per capita,GHG emissions from agriculture per capita,0.4527540815628603,0.439853267863045,0.4215222522232188,0.40390777661776683,0.3837592595917569,0.4026439071466106,0.39655843500999133,0.3935297718479854,0.38857928074567627,0.38829811992613583,0.3850903561603882,0.3825606680082211,0.3743791151319752,0.3771464326812959,0.37273259483330956,0.36688646477705444,0.3627315603976107,0.3538472929981112,0.34547519830630447,0.34350756642380637,0.0
ALB,tCO2eq per capita,GHG emissions from agriculture per capita,1.031442119518541,1.0286630070652867,1.0415370583518244,1.036315897544953,1.0406691675729178,0.9812818097225721,0.999533594473203,0.957153086780648,0.9041185277401729,0.8793826109883488,0.8844058735608155,0.8955300085133698,0.9432962108735999,0.9339491673580665,0.9805699500703332,0.9986540575147802,0.9904228742526774,0.9654000353511465,0.9478179817578015,0.9471829654627177,0.017234391259013427
ARE,tCO2eq per capita,GHG emissions from agriculture per capita,0.3062472968811771,0.3071488230495785,0.30761960233847085,0.30400975613647724,0.2764190845159204,0.2750551297456618,0.24975889488280759,0.2245189151352619,0.20663902703418133,0.21817355317583445,0.17884935599665636,0.17032348880377943,0.16679410070038628,0.18458853609285394,0.19865139371558427,0.2064678704968079,0.20622991570148944,0.2077650166927755,0.20601109990479666,0.2073825964037862,0.0
ARG,tCO2eq per capita,GHG emissions from agriculture per capita,3.519432385403342,3.553963287958217,3.6924300975674083,3.9980456506541997,4.02897263029146,4.037319675296205,4.119152041049964,4.1835081084326955,4.042774763543228,3.693181381834738,3.565932453162663,3.482000381711858,3.4826102545137188,3.588466500043184,3.641426834507083,3.5915466904754583,3.603946990192878,3.5841253746099624,3.5008656269037455,3.5094517935048963,0.14612501116485546
ARM,tCO2eq per capita,GHG emissions from agriculture per capita,0.4714937962458915,0.48546841449300265,0.510408500605476,0.5259735943906071,0.589104986170296,0.5882615772387666,0.5833048957966076,0.6271960870608656,0.6310590645343349,0.5931424204928927,0.5816174128565739,0.5916330738475027,0.635197085111532,0.6533855219887679,0.6695641350132518,0.6776262458972797,0.6899617770585055,0.639187804763601,0.5780181576699988,0.5617589052955512,0.0015379008205224426
ATG,tCO2eq per capita,GHG emissions from agriculture per capita,0.5458139021221731,0.5526214172505568,0.5543101584485555,0.5560718265172548,0.5595771085690816,0.5516346585506738,0.5459401793658345,0.5303411846579752,0.5184324002691055,0.5072690575127676,0.25548322588679995,0.2534221657003921,0.2501778759332795,0.24645950946798165,0.2440579371676822,0.24232913050923896,0.23876279567514813,0.2369035627665706,0.22763073465118086,0.23000048351328833,0.0
AUS,tCO2eq per capita,GHG emissions from agriculture per capita,6.694350075340678,6.57233766125792,6.448247347059242,5.975957042602813,6.215515050379085,6.133461339459077,5.965591378014194,5.691881035592195,5.344637845989496,5.300325799923472,5.05249133505963,5.351016126258414,5.318759988061653,5.3863143336410815,5.277855683024556,4.983993932313136,4.6083883116081585,4.8017563086693436,4.602907391310334,4.5444432046959395,0.11454013613761145
AUT,tCO2eq per capita,GHG emissions from agriculture per capita,1.0007154920149195,0.9993138114192058,0.9775991766610488,0.9447871711743127,0.9348228902714475,0.9136827768588772,0.9107345271284604,0.9040346324200135,0.9039395985505491,0.8982814292806355,0.9226327906029651,0.9239422275196884,0.9029605102235577,0.8994804789144775,0.9055061011266088,0.8956337294657607,0.8868216144312683,0.8699945848203923,0.8615271993042039,0.8582840422954261,0.01408538921306863
AZE,tCO2eq per capita,GHG emissions from agriculture per capita,0.7979969475498846,0.8447171881312261,0.8749191586047395,0.9157091746250349,0.9281311238235117,0.943806920286945,0.9712550651360412,0.9815579643468937,0.9986561412807814,0.9968049524283626,0.9904402850657564,0.987595885665254,0.9845895070991321,0.9847801616929145,0.9905577105706205,0.9849673785308238,0.9705160549096457,0.9590235718715371,0.9475749787464922,0.9396694631556191,0.0006674189281987207
BDI,tCO2eq per capita,GHG emissions from agriculture per capita,0.14545999884305544,0.1515102155084034,0.1382287591358028,0.1388984395153044,0.14247437682495365,0.1471495352727147,0.15679498257983532,0.16240290592765966,0.1701920149742115,0.18715736162486193,0.20556586339674715,0.21692382372935543,0.21166421194610596,0.24372246598378125,0.2345445790391822,0.22469424862849868,0.24424006400075057,0.2897755904427907,0.28145778825487705,0.29418842934833184,0.0
BEL,tCO2eq per capita,GHG emissions from agriculture per capita,1.1320302009832945,1.1114297151693906,1.065894302038608,1.0202363586222343,1.005395088856427,0.9795646353416677,0.9586573527207826,0.9488641710870813,0.9352192907843931,0.9361723990095673,0.9381340318253648,0.9149665037255859,0.8964226480300771,0.8751382891322093,0.875652990903695,0.8830224743928523,0.8585834950533127,0.8321201447601869,0.8395847793666679,0.8316559679782715,0.011961054867097802
BEN,tCO2eq per capita,GHG emissions from agriculture per capita,0.38954174092834404,0.3936737629720967,0.3960374700098692,0.3867355758776346,0.38610553568172806,0.3799977026412316,0.3810091333780299,0.3831137425175551,0.38306967856648017,0.3862336059826626,0.38655131916674984,0.38779438925383813,0.39020966223412396,0.40588514855375435,0.3909528686032706,0.3858654748560935,0.39049658606289583,0.38834356066634024,0.40690835794579644,0.41696025349561233,0.0
