category,country,gas,scenario,source,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,AFG,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,2.83,2.65,1.55,1.5,1.46,1.47,1.43,1.36,1.32,1.12,1.12,1.1500000000000001,1.45,1.59,1.31,1.75,2.08,2.81,4.79,7.41,9.19,13.3,11.3,9.51,8.870000000000001,8.78,7.54,7.390000000000001,7.55,10.5
1,AGO,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,23.6,23.3,22.400000000000002,26.0,33.4,47.1,54.5,52.9,56.7,57.4,53.0,50.800000000000004,50.300000000000004,51.0,50.2,49.4,47.7,46.800000000000004,49.2,50.1,56.7,55.300000000000004,57.6,57.2,67.6,60.4,61.0,60.9,57.4,57.0
1,ALB,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,3.34,5.25,3.44,3.33,3.5,3.2600000000000002,3.27,3.43,4.15,4.46,3.13,3.52,3.63,3.81,4.0600000000000005,3.98,3.91,4.09,4.15,4.49,4.4,4.82,4.25,4.63,5.49,4.26,4.23,5.2,4.73,5.13
1,AND,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,0.40700000000000003,0.41500000000000004,0.422,0.432,0.433,0.461,0.491,0.502,0.529,0.552,0.5630000000000001,0.5640000000000001,0.5710000000000001,0.5730000000000001,0.599,0.614,0.582,0.5750000000000001,0.5750000000000001,0.551,0.551,0.52,0.519,0.508,0.493,0.494,0.5,0.502,0.489,0.466
1,ARE,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,53.800000000000004,59.7,60.6,69.5,75.3,75.9,81.60000000000001,81.4,88.4,87.60000000000001,122.0,121.0,109.0,138.0,149.0,160.0,159.0,162.0,174.0,178.0,163.0,173.0,211.0,209.0,198.0,219.0,211.0,178.0,176.0,175.0
1,ARG,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,98.60000000000001,103.0,108.0,107.0,111.0,114.0,130.0,130.0,138.0,140.0,137.0,133.0,126.0,135.0,147.0,151.0,159.0,174.0,180.0,167.0,180.0,189.0,191.0,194.0,190.0,196.0,196.0,194.0,193.0,181.0
1,ARM,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,23.1,21.5,27.7,11.6,11.5,12.200000000000001,8.49,8.69,7.23,5.18,3.7,3.72,3.3000000000000003,3.7,3.86,4.55,4.61,5.4,6.07,5.16,5.15,5.96,6.8,6.59,6.63,6.22,6.48,6.84,8.15,7.8
1,ATG,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,0.223,0.215,0.212,0.219,0.219,0.227,0.241,0.26,0.275,0.28700000000000003,0.298,0.302,0.334,0.357,0.372,0.379,0.39,0.41200000000000003,0.423,0.449,0.46,0.45,0.466,0.46900000000000003,0.47000000000000003,0.488,0.499,0.507,0.522,0.541
1,AUS,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,293.0,295.0,301.0,304.0,305.0,317.0,324.0,335.0,348.0,354.0,363.0,371.0,374.0,379.0,392.0,398.0,404.0,412.0,417.0,422.0,417.0,414.0,420.0,413.0,407.0,417.0,427.0,429.0,431.0,430.0
1,AUT,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.3.1,MtCO2,Energy GHG emissions,53.300000000000004,56.800000000000004,52.2,52.5,52.1,54.6,58.800000000000004,57.6,57.5,56.2,55.6,59.800000000000004,61.0,66.5,66.6,67.2,64.2,60.800000000000004,59.9,56.800000000000004,59.7,57.300000000000004,55.2,55.300000000000004,51.7,53.300000000000004,54.6,56.2,54.800000000000004,55.2
