category,country,gas,scenario,source,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
M.0.EL,AFG,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),14.9,13.3,16.0,16.7,16.4,17.3,17.7,18.6,22.0,25.3,29.2,33.5,31.6,30.0,30.0,29.5,28.400000000000002,29.900000000000002,30.1,30.6,31.5,31.8
M.0.EL,AGO,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),84.5,83.2,85.10000000000001,90.2,93.3,92.4,84.9,86.3,87.3,88.5,96.7,97.0,98.0,99.3,109.0,104.0,104.0,104.0,94.8,96.0,87.4,88.10000000000001
M.0.EL,ALB,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),6.25,6.93,7.0,7.36,7.7700000000000005,7.19,7.76,8.120000000000001,8.13,8.61,8.72,9.33,8.91,9.4,10.200000000000001,8.92,8.81,9.94,9.51,9.39,9.15,8.18
M.0.EL,AND,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),0.604,0.603,0.61,0.614,0.639,0.654,0.621,0.616,0.616,0.597,0.601,0.5720000000000001,0.5680000000000001,0.551,0.538,0.538,0.545,0.548,0.53,0.522,0.452,0.505
M.0.EL,ARE,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),137.0,136.0,126.0,156.0,170.0,182.0,184.0,190.0,207.0,210.0,197.0,205.0,243.0,242.0,235.0,257.0,247.0,213.0,209.0,211.0,200.0,205.0
M.0.EL,ARG,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),280.0,282.0,271.0,287.0,296.0,303.0,313.0,329.0,332.0,309.0,321.0,331.0,332.0,341.0,340.0,345.0,347.0,349.0,346.0,337.0,329.0,352.0
M.0.EL,ARM,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),6.0600000000000005,6.13,5.91,6.4,6.8100000000000005,7.67,8.0,8.78,9.49,8.43,8.48,9.32,10.4,10.3,10.4,10.1,10.5,10.700000000000001,12.0,11.5,11.3,11.9
M.0.EL,ATG,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),0.4,0.405,0.439,0.466,0.483,0.491,0.503,0.527,0.538,0.5650000000000001,0.556,0.548,0.5650000000000001,0.5700000000000001,0.5720000000000001,0.591,0.604,0.607,0.624,0.642,0.577,0.636
M.0.EL,AUS,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),492.0,499.0,503.0,503.0,520.0,527.0,531.0,538.0,541.0,544.0,539.0,541.0,544.0,534.0,529.0,537.0,546.0,553.0,555.0,549.0,526.0,519.0
M.0.EL,AUT,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),80.5,84.4,86.10000000000001,91.60000000000001,91.2,92.4,90.0,87.2,86.60000000000001,79.9,84.5,82.3,79.60000000000001,80.0,76.5,78.7,79.7,82.0,78.8,79.9,73.8,77.7
M.0.EL,AZE,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),56.7,56.9,56.800000000000004,53.1,55.800000000000004,60.300000000000004,57.4,56.4,64.2,56.6,55.800000000000004,56.2,57.6,56.9,60.1,61.0,60.5,58.9,61.6,65.2,58.4,60.2
M.0.EL,BDI,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),2.37,2.61,2.62,2.62,2.72,2.74,2.87,2.97,3.09,3.23,3.49,3.59,3.2,3.62,3.59,3.61,3.96,4.25,4.34,4.19,4.04,4.15
M.0.EL,BEL,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),149.0,148.0,148.0,148.0,149.0,146.0,143.0,139.0,139.0,127.0,134.0,123.0,121.0,121.0,115.0,119.0,118.0,117.0,118.0,117.0,107.0,115.0
M.0.EL,BEN,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),8.35,7.7700000000000005,8.8,8.82,8.950000000000001,9.67,10.3,11.1,10.8,11.4,12.3,12.4,12.4,13.1,13.5,14.3,15.4,16.1,16.9,17.5,17.7,18.5
M.0.EL,BFA,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),11.8,12.1,12.6,15.700000000000001,16.5,17.5,18.1,19.2,20.6,21.0,21.900000000000002,22.6,23.6,24.400000000000002,25.8,26.0,27.8,28.6,28.8,29.3,30.1,31.0
M.0.EL,BGD,KYOTOGHG (AR4GWP100),HISTCR,PRIMAP-hist_v2.4.1,MtCO2,Total GHG emissions (excl. LULUCF),78.60000000000001,85.60000000000001,88.5,91.8,95.60000000000001,99.7,105.0,107.0,111.0,115.0,121.0,124.0,129.0,131.0,137.0,144.0,147.0,153.0,159.0,170.0,169.0,175.0
