country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,gCH4 per USD,CH4 emissions from fuel combustion per USD,,,,,,,,,,,,,1.1491476329849943,1.0652059256456243,0.941306334147873,0.8213701013250496,0.7502203042708614,0.5529407685416697,0.5846099106758029,0.5315652699765825,0.4509141026379207,0.48076077601083045,0.39633668233513925,0.3946113463662846,0.3746866615076304,0.37994771301380126,0.36596346646015754,0.386061893758492,0.40380588813489193,0.4372468170728827
AGO,gCH4 per USD,CH4 emissions from fuel combustion per USD,2.9834091380399737,3.2346941666666558,4.224939651562496,6.22321717403628,8.268892641203358,6.662153903018922,4.955857917421208,4.903000724974805,5.763706826140546,6.14340807174888,4.173222707194918,4.2971940654697764,2.5448797012256015,2.206290361325446,1.6941198715748198,1.0846362874074587,0.7827264581703195,0.6435159053479238,0.48566381847089657,0.6258252743826616,0.5369960658449281,0.4105924388167978,0.36469316123291406,0.348182633017307,0.33284790083454485,0.42257042764478,0.489498762816325,0.4077828473462591,0.49135088851622233,0.5804253052676779
ALB,gCH4 per USD,CH4 emissions from fuel combustion per USD,4.929620425389271,6.8663889880096995,8.402652780298162,4.311088597052024,2.599748024854665,1.8681317529422041,1.375154130739713,1.7577929760596853,1.5121970232403452,0.8934904439645268,0.807388841557944,0.7139031216667354,0.8118547831755927,0.4472960303244028,0.4467836308523214,0.3887197483594742,0.35071654969721633,0.27254019458783113,0.22125004164060277,0.23911908358509576,0.2372783022558879,0.21720977007959189,0.22240565841668428,0.21054739925025226,0.19730653871375792,0.24062844147033977,0.20318349192076696,0.17435131832237494,0.15043118020004467,0.1480496131472594
AND,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.15548344205086612,0.1671291200385841,0.1512379630726535,0.1787441871334103,0.16117157990539413,0.14167682688682984,0.14461429919372384,0.13383056496057114,0.1287200509541449,0.11856021394324301,0.09796723594375593,0.09373427277302493,0.07859172593430264,0.06351284832902435,0.053196601431653355,0.0487356348981455,0.04195065205634585,0.03617871229356909,0.036714038849013704,0.04163934302264036,0.04811640427158948,0.03692269927355571,0.046098716683119496,0.048532983439659956,0.03942773958557519,0.047672468989982224,0.04867642900269793,0.04533060216284603,0.042258124883039164,0.0424713846765209
ARE,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.06469243787777028,0.0676984168921204,0.06895385511671824,0.07226944172380013,0.06997712542889821,0.06936029335598416,0.061708901066350734,0.05771254724999828,0.061315370942090025,0.05648615401481981,0.04935911153794968,0.05430172213846667,0.05536523679642967,0.051790821220070886,0.04579759064995335,0.038257650701615666,0.031875158601633216,0.027140605386207942,0.02405898801787928,0.028752025010291712,0.02512187054848328,0.02090307969818787,0.021917260795357055,0.02255788143815391,0.022721798610083856,0.02568863281609362,0.028287745720107896,0.028007898767513487,0.02439515160880329,0.025406530888645983
ARG,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.08772403400630983,0.06957622335304345,0.06687395634946205,0.06969620879426978,0.06836544437538844,0.0701464064015378,0.07018194945981028,0.06760932735548507,0.07058077777675568,0.07512618023934566,0.0745943711157928,0.0751776863694853,0.2026114274745665,0.17870162898250724,0.1366469257698554,0.11271172097295512,0.11051041756201871,0.0907729762050713,0.06665596536757366,0.07117619741244932,0.056417499797220265,0.04772114719988814,0.048353209141775336,0.04728045535765581,0.0526296115887239,0.04741493717038697,0.04878649195407103,0.042105023379090424,0.05087461049295488,0.06239871879110061
ARM,gCH4 per USD,CH4 emissions from fuel combustion per USD,5.405791361160807,3.6089220730330025,2.9461781488765038,0.6459599706998601,0.7907791280821618,0.29217115435337276,0.22166993342865318,0.22872932485794248,0.19960644397297397,0.17935692082954627,0.21186843347134549,0.16379761893422876,0.2836300379670266,0.3149201236678076,0.1196662126704464,0.10754070637455615,0.1024363626424587,0.14120762520133956,0.12433501439201927,0.1491685285857659,0.15874241558160748,0.1636740068464724,0.17326909741693441,0.1636474937803443,0.15246117638053772,0.28332268829541385,0.3717001480178713,0.35740748721900767,0.3130533140308033,0.29223253210624706
ATG,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.08683911427811417,0.0846987182937238,0.0823182944379331,0.06857581818307648,0.06565669259673503,0.0696367392503818,0.06485415558685496,0.06097395070932219,0.05110878171400659,0.052597233098407734,0.047073323771961294,0.047096654791097974,0.04359136449839235,0.045306127744597316,0.040555396714815534,0.03499637943519199,0.029801419846497975,0.025747295066935613,0.024597276701115656,0.032401725921079205,0.029163402106729346,0.03498479629641679,0.03566820788552586,0.04079738926803571,0.03760802304491636,0.03403924002582389,0.030837015762688165,0.026362796893685907,0.023413014148822152,0.026488365661912903
AUS,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.16124542414272944,0.15341988714769764,0.1563842853159808,0.18005537821520082,0.16666288055754366,0.1470445138231598,0.13164143191156116,0.11922154687491585,0.12543675553034606,0.12490398180775766,0.11429913165951873,0.12424689085980037,0.12090775418586268,0.09563731293067995,0.06805974090653755,0.05610903871882535,0.05297260916072735,0.04660664917995408,0.03762579789016741,0.03976108873846856,0.03259005969952222,0.02603891112054613,0.023601550602612122,0.023408725545964962,0.024872150000656897,0.027026343528582648,0.030082413207346975,0.027281986046834246,0.025550748638321432,0.026006634371717942
AUT,gCH4 per USD,CH4 emissions from fuel combustion per USD,0.2102564461970614,0.21864944180410759,0.17941529677450704,0.17701465185873413,0.1527990906196374,0.13358873781735053,0.1433081729418637,0.14662319148367978,0.1374508070192811,0.14084562337421033,0.14496454099109696,0.15189198693110287,0.13106657092944854,0.10714001203082828,0.09188689715621923,0.08098900911015253,0.07672176479214908,0.06346586772067911,0.05786341394998499,0.06396873971490427,0.07137847771089065,0.062082274124258666,0.06692691367206371,0.07182856326071814,0.061457146880245235,0.07435116528893827,0.07250452687247072,0.06950083867566524,0.06349301873799998,0.06494208755457707
