country,unit,variable,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,tCO2 per capita,Energy GHG emissions per capita,0.22799944345577547,0.1992628627561618,0.10700323764183366,0.09483706391784177,0.08550147905846239,0.08116765693048658,0.0758482110748572,0.07025836376743119,0.06687685589608147,0.055525680205694886,0.05389809035697236,0.0532235120927522,0.06415709479684191,0.06714280061742661,0.05297919183599551,0.06821475439141252,0.07868934422948717,0.10368796314110618,0.17278520479609885,0.26096321982266757,0.31488227154905735,0.4416050237518756,0.362628379271289,0.29470468669080163,0.26580120754657277,0.25513166988065733,0.21309651621675793,0.20360308023082696,0.20311029383952758,0.2760124880667315
AGO,tCO2 per capita,Energy GHG emissions per capita,1.99183264217022,1.902211471870007,1.7697211922769684,1.988521032892891,2.4733864726346813,3.3775050277138274,3.7845324699692138,3.557122273287585,3.691502382874554,3.6176004708174663,3.2325988441812337,2.9978012779957317,2.871099941790304,2.8143401335332654,2.6761718034060737,2.541988609009425,2.3672568183323945,2.2386603244335426,2.2677371615194875,2.22525486607941,2.4276160463622434,2.283174777235633,2.294096385902061,2.1986650720451038,2.509114749055305,2.16608725028134,2.114935878264568,2.042474823479365,1.8630443631434388,1.7910279491796761
ALB,tCO2 per capita,Energy GHG emissions per capita,1.962549086547502,1.628509944012318,0.9269984130156738,0.8737989524947735,0.7451202418304892,0.724641318232352,0.7039068090515471,0.5653879053362771,0.6392778717161094,1.0389934565929122,1.0456367004885356,1.1469939771378939,1.3339844838266672,1.4146523771423758,1.3809330151681285,1.4378278903412167,1.3299707573515136,1.2794539559874574,1.4352050714650697,1.410750878132644,1.4623993441859842,1.590254698910056,1.4135976370163987,1.5405382626873343,1.8344787865026666,1.4371491958733682,1.4220641069280946,1.7365841910980397,1.5838815284526524,1.723780924261901
AND,tCO2 per capita,Energy GHG emissions per capita,7.778674689953768,7.500088236332192,7.217825481471417,7.035785744743661,6.748994830557151,6.93704979642969,7.317868961981263,7.478466370222955,7.8889928281883375,8.202833706189411,8.227557730539838,8.018531717747683,7.823206943809959,7.529379611915825,7.5672131147540975,7.505927400438691,6.9386999197481325,6.724559154350403,6.630097782017649,6.3106048945667235,6.311127951310773,6.05387591345465,6.114501316316256,6.091370558375634,6.009114665522074,6.1543984716577125,6.261724561743968,6.234009117238334,6.0772906710991075,5.8201332538304
ARE,tCO2 per capita,Energy GHG emissions per capita,39.26851184919141,40.78137106969537,39.21297369759344,42.427184689400335,42.93104402633046,40.20539116615924,40.1713821436631,36.797722209764984,36.96839273514208,34.052263143752135,43.713168863333166,38.45313047843567,31.045464645683573,35.29160428898059,33.42692051791081,30.51290892201816,27.734948979014266,25.45046512751331,24.684441156947063,23.618960240322288,20.935677411854364,21.79555589732974,26.80056594044061,27.180093560405258,26.263861512611754,29.040593784060622,27.561231602477303,22.872909052464973,22.323825045172,21.800259269562357
ARG,tCO2 per capita,Energy GHG emissions per capita,3.8015064266305583,3.899754895870196,3.996502165865577,3.768019190286235,3.8659791192363597,4.105872005670812,4.227384965762154,4.31887450803392,4.325709150796467,4.579455444064859,4.420842989123424,4.1582111901272585,3.874555378184072,4.122047688363533,4.65032057335595,4.705226071457111,4.988562447995509,4.913781653163973,5.214550171819428,4.940371445779448,5.0504489591698905,5.0652557626978565,5.103841488964524,4.975957240888579,4.898112234734413,4.938332743747409,4.863459744134301,4.745167370567216,4.62978549574507,4.316990660524493
ARM,tCO2 per capita,Energy GHG emissions per capita,1.3029356468496092,1.2638189184277635,1.7427573907436347,0.8147218453390329,0.9044774373991981,1.1127173334319653,0.8616844890163635,1.0883855221106635,1.1387429628740844,1.0391645246712549,1.198854442456127,1.2128419640697208,1.0547215930514942,1.1862404065292262,1.246369615241701,1.4859478972327824,1.5042417928398768,1.7424721622169976,1.9225378875814028,1.575433486583193,1.5292039728719216,1.7903478350349171,2.056001600422156,1.9809545370933739,1.9811818625375681,1.825292192022106,1.8902323350976638,1.9967474749464225,2.412135753102999,2.2855380886951067
ATG,tCO2 per capita,Energy GHG emissions per capita,3.566117090176387,3.3931474204188565,3.2889123318698705,3.3294312601669276,3.2588800761893424,3.305568499534017,3.43422252621979,3.6258663728785194,3.755855720509704,3.8433725259126335,3.920691515255174,3.9113091229342585,4.265753914531661,4.5012671634451715,4.629917731838153,4.652476001080259,4.714985190110621,4.9030691784978995,4.953509614258613,5.176210184107076,5.2254913097807565,5.042016806722689,5.1544681274680055,5.125122937383893,5.077677664700418,5.215291062401813,5.279305966991113,5.313073094052921,5.42157412600486,5.570715131545076
AUS,tCO2 per capita,Energy GHG emissions per capita,17.110945731346433,16.89423744503587,17.090597313518145,17.49023603328239,17.138056566788016,17.153607791057993,18.13117798044891,18.253496786736513,18.70557426112982,18.915777237662475,18.952644494335093,18.544274455261938,19.1843838098049,18.69778943876474,18.83005256515993,19.02445721458411,19.422260229298626,19.685417426875876,19.95369237430115,20.007652696653558,19.7896217958174,19.38225312560094,18.870858445907828,17.77056847097316,17.038905700135878,17.173332459970705,16.948517060563294,16.462169933492834,16.011087357773512,15.887568056842012
AUT,tCO2 per capita,Energy GHG emissions per capita,7.606296033394766,8.033639673336479,7.295258630310091,7.298593294173914,7.2579565979235685,7.6620369846147796,8.104015860250078,8.032087184290342,8.161178639675688,7.907587330043177,7.913558972116062,8.343391617291235,8.450923458266358,9.013198795334265,8.945215875836979,9.078944154041121,8.804348864583673,8.414213656172326,8.363880725292665,7.658818914238367,8.238272358958147,7.8649675635629395,7.485179996040328,7.51194924705386,7.03223689722263,7.1968258989466145,7.15375701583258,7.399773982940281,7.114965283154692,7.2410562257317626
AZE,tCO2 per capita,Energy GHG emissions per capita,8.654811015720817,8.499167961712487,7.856896119641562,6.898116027112132,5.936905568975391,4.749604741797173,4.418394950405772,4.15909163397442,4.3851889296095035,4.058751683317152,4.137365504559798,3.920504980767334,3.8546491351513406,4.056302449569474,4.213567687955216,4.492453988095593,4.537659628383356,4.381620500390384,4.87253805600566,4.191235221844315,3.9980862199442213,4.218865589558668,4.442874318077959,4.491971318072879,4.520151327534885,4.518443280219862,4.468214800613088,4.262214262931735,4.386418962770873,4.748469292018192
