category,country,gas,scenario,source,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
M.0.EL,AFG,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),14.9,13.3,16.0,16.6,16.4,17.3,17.7,18.6,22.0,25.2,29.1,33.5,31.6,29.900000000000002,29.900000000000002,28.8,27.900000000000002,27.8,27.7,31.5
M.0.EL,AGO,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),84.3,83.0,84.8,90.10000000000001,93.10000000000001,92.2,84.60000000000001,86.10000000000001,87.0,88.3,96.60000000000001,96.7,97.8,99.10000000000001,109.0,103.0,104.0,103.0,97.9,101.0
M.0.EL,ALB,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),7.62,7.74,8.42,8.96,8.74,8.84,8.4,8.23,8.47,8.32,8.57,9.17,8.870000000000001,9.120000000000001,9.950000000000001,8.94,8.94,9.78,9.200000000000001,9.43
M.0.EL,AND,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),0.6910000000000001,0.6960000000000001,0.706,0.713,0.743,0.76,0.73,0.73,0.729,0.7020000000000001,0.707,0.675,0.67,0.654,0.635,0.634,0.636,0.633,0.62,0.601
M.0.EL,ARE,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),146.0,137.0,119.0,143.0,149.0,154.0,163.0,175.0,197.0,208.0,201.0,218.0,268.0,275.0,270.0,297.0,288.0,247.0,246.0,246.0
M.0.EL,ARG,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),307.0,299.0,293.0,318.0,344.0,346.0,363.0,363.0,374.0,352.0,352.0,357.0,363.0,365.0,368.0,369.0,373.0,376.0,372.0,358.0
M.0.EL,ARM,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),5.58,5.66,5.37,5.8500000000000005,6.28,7.13,7.53,8.07,8.620000000000001,7.45,7.34,8.120000000000001,9.19,9.05,9.1,8.84,9.57,9.56,10.8,10.6
M.0.EL,ATG,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),0.399,0.404,0.438,0.464,0.481,0.489,0.501,0.524,0.535,0.5630000000000001,0.552,0.544,0.56,0.5650000000000001,0.5670000000000001,0.586,0.599,0.603,0.619,0.638
M.0.EL,AUS,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),610.0,628.0,632.0,547.0,599.0,565.0,619.0,619.0,601.0,618.0,598.0,699.0,692.0,594.0,606.0,608.0,578.0,616.0,608.0,581.0
M.0.EL,AUT,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),86.4,90.10000000000001,92.3,99.3,98.0,99.3,98.60000000000001,96.0,96.5,99.7,112.0,108.0,101.0,101.0,99.0,100.0,103.0,104.0,99.2,102.0
M.0.EL,AZE,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),41.0,40.1,40.2,42.7,44.9,47.9,49.1,48.5,53.9,48.6,47.300000000000004,49.800000000000004,53.0,54.1,55.300000000000004,56.300000000000004,56.1,54.7,56.7,60.7
M.0.EL,BDI,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),3.23,3.49,3.5,3.52,3.67,3.72,3.9,4.03,4.19,4.34,4.71,4.98,4.68,5.36,5.32,5.3500000000000005,5.76,6.41,6.57,6.16
M.0.EL,BEL,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),151.0,150.0,144.0,150.0,149.0,145.0,143.0,140.0,141.0,139.0,149.0,139.0,133.0,136.0,132.0,136.0,133.0,133.0,139.0,135.0
M.0.EL,BEN,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),8.33,7.75,8.78,8.8,8.93,9.64,10.3,11.1,10.8,11.4,12.3,12.4,12.4,13.1,13.5,14.200000000000001,15.3,16.0,16.6,16.8
M.0.EL,BFA,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),18.0,17.5,18.1,21.6,22.400000000000002,23.400000000000002,23.400000000000002,24.2,25.1,25.900000000000002,27.1,27.6,28.3,29.3,29.8,30.6,32.0,33.0,33.1,33.9
M.0.EL,BGD,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),128.0,134.0,137.0,140.0,142.0,147.0,153.0,156.0,164.0,168.0,174.0,179.0,184.0,186.0,192.0,201.0,204.0,212.0,219.0,230.0
M.0.EL,BGR,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),61.1,63.300000000000004,61.300000000000004,64.6,63.5,64.2,64.2,68.5,66.2,57.6,59.300000000000004,65.9,60.4,55.1,58.300000000000004,61.5,58.6,61.800000000000004,59.1,57.5
M.0.EL,BHR,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),38.7,34.5,35.1,35.1,36.2,39.0,38.7,46.5,51.300000000000004,50.2,50.5,50.300000000000004,51.2,57.7,58.300000000000004,59.7,58.800000000000004,59.800000000000004,53.300000000000004,55.7
M.0.EL,BHS,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),2.3000000000000003,2.22,2.2800000000000002,2.3000000000000003,2.34,2.19,2.14,2.18,2.7600000000000002,1.98,2.77,2.2,2.31,3.3000000000000003,2.77,2.44,2.21,2.38,2.43,2.52
M.0.EL,BIH,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),18.7,18.0,18.8,19.400000000000002,21.1,22.0,23.7,23.7,26.5,27.6,28.400000000000002,31.400000000000002,29.7,29.3,27.5,26.8,30.1,30.400000000000002,30.400000000000002,32.3
M.0.EL,BLR,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),83.60000000000001,82.9,82.7,83.9,88.5,89.8,93.5,91.8,95.7,93.2,95.60000000000001,111.0,111.0,111.0,111.0,107.0,106.0,107.0,112.0,114.0
M.0.EL,BLZ,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),0.838,0.911,0.925,1.0,0.835,0.9,0.903,0.974,0.9440000000000001,1.07,1.06,1.17,1.02,1.1400000000000001,1.09,1.29,1.28,1.28,1.27,1.3800000000000001
M.0.EL,BOL,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),62.9,51.2,49.1,53.300000000000004,65.6,72.4,76.60000000000001,76.0,79.10000000000001,81.4,88.60000000000001,90.7,96.0,99.2,102.0,105.0,108.0,111.0,113.0,117.0
M.0.EL,BRA,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),907.0,928.0,950.0,976.0,1020.0,1030.0,1030.0,1060.0,1070.0,1040.0,1130.0,1150.0,1180.0,1220.0,1260.0,1240.0,1230.0,1240.0,1220.0,1230.0
M.0.EL,BRB,KYOTOGHG (AR4GWP100),HISTTP,PRIMAP-hist_v2.3.1,MtCO2,Total GHG emissions (excl. LULUCF),1.47,1.48,1.48,1.52,1.56,1.6,1.61,1.6300000000000001,1.8900000000000001,1.87,1.73,1.8,1.74,1.71,1.53,1.53,1.56,1.44,1.47,1.51
